 #    ,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
479,Sitapur,30,GEN,Uttar Pradesh [2000 Onwards],Rakesh Rathor,Indian National Congress,1759943,1102015,0.626,89641,0.081
480,Sivaganga,31,GEN,Tamil Nadu,Karti P Chidambaram,Indian National Congress,1633857,1053419,0.645,205664,0.195
481,Siwan,18,GEN,Bihar [2000 Onwards],Vijaylakshmi Devi,Janata Dal (United),1896512,998018,0.526,92857,0.093
482,Solapur,42,SC,Maharashtra,Praniti Sushilkumar Shinde,Indian National Congress,2030119,1204485,0.593,74197,0.062
483,Sonipat,6,GEN,Haryana,Satpal Brahamchari,Indian National Congress,1766624,1123944,0.636,21816,0.019
484,Sonitpur,11,GEN,Assam,Ranjit Dutta,Bharatiya Janta Party,1633800,1288468,0.789,361408,0.28
485,South Delhi,7,GEN,Delhi [1977 Onwards],Ramvir Singh Bidhuri,Bharatiya Janta Party,2291764,1295998,0.566,124333,0.096
486,South Goa,2,GEN,Goa,Captain Viriato Fernandes,Indian National Congress,598767,450520,0.752,13535,0.03
487,Srerampur,27,GEN,West Bengal,Kalyan Banerjee,All India Trinamool Congress,1926645,1476532,0.766,174830,0.118
488,Srikakulam,2,,Andhra Pradesh [2014 Onwards],Kinjarapu Rammohan Naidu,Telugu Desam,1631174,1235686,0.758,327901,0.265
489,Srinagar,2,,Jammu & Kashmir,Aga Syed Ruhullah Mehdi,Jammu & Kashmir National Conference,1747810,675242,0.386,188416,0.279
490,Sriperumbudur,5,GEN,Tamil Nadu,T R Baalu,Dravida Munnetra Kazhagam,2382119,1440935,0.605,487029,0.338
491,Sultanpur,38,GEN,Uttar Pradesh [2000 Onwards],Rambhual Nishad,Samajwadi Party,1852590,1033387,0.558,43174,0.042
492,Sundargarh,2,ST,Orissa,Jual Oram,Bharatiya Janta Party,1576105,1155777,0.733,138808,0.12
493,Supaul,8,GEN,Bihar [2000 Onwards],Dileshwar Kamait,Janata Dal (United),1927207,1231114,0.639,169803,0.138
494,Surat,24,GEN,Gujarat,Mukeshkumar Chandrakaant Dalal ( Uncontested ),Bharatiya Janta Party,1606425,RU,NA,NA,NA
495,Surendranagar,9,GEN,Gujarat,Chandubhai Chhaganbhai Shihora,Bharatiya Janta Party,2033419,1131377,0.556,261617,0.231
496,Tamluk,30,GEN,West Bengal,Abhijit Gangopadhyay,Bharatiya Janta Party,1850741,1577319,0.852,77733,0.049
497,Tehri Garhwal,1,GEN,Uttarakhand,Mala Rajya Lakshmi Shah,Bharatiya Janta Party,1577664,862041,0.546,272493,0.316
498,Tenkasi,37,SC,Tamil Nadu,Dr Rani Sri Kumar,Dravida Munnetra Kazhagam,1525439,1039119,0.681,196199,0.189
499,Thane,25,GEN,Maharashtra,Naresh Ganpat Mhaske,Shiv Sena,2507372,1309068,0.522,217011,0.166
500,Thanjavur,30,GEN,Tamil Nadu,Murasoli S,Dravida Munnetra Kazhagam,1501226,1028706,0.685,319583,0.311
501,Theni,33,GEN,Tamil Nadu,Thanga Tamilselvan,Dravida Munnetra Kazhagam,1622949,1141219,0.703,278825,0.244
502,Thiruvallur,1,SC,Tamil Nadu,Sasikanth Senthil,Indian National Congress,2085991,1417812,0.68,572155,0.404
503,Thiruvananthapuram,20,GEN,Kerala,Shashi Tharoor,Indian National Congress,1430531,962983,0.673,16077,0.017
504,Thoothukkudi,36,GEN,Tamil Nadu,Kanimozhi Karunanidhi,Dravida Munnetra Kazhagam,1458430,978526,0.671,392738,0.401
505,Thrissur,10,GEN,Kerala,Suresh Gopi,Bharatiya Janta Party,1483055,1090876,0.736,74686,0.068
506,Tikamgarh,6,SC,Madhya Pradesh [2000 Onwards],Dr. Virendra Kumar,Bharatiya Janta Party,1826585,1098390,0.601,403312,0.367
507,Tiruchirappall,24,GEN,Tamil Nadu,Durai Vaiko,Marumalarchi Dravida Munnetra Kazhagam,1553985,1055964,0.68,313094,0.297
508,Tirunelveli,38,GEN,Tamil Nadu,Robert Bruce C,Indian National Congress,1654503,1067448,0.645,165620,0.155
